,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_pos_count_new,total_ident_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,total_pos_count_old,total_ident_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,total_pos_count_diff,total_ident_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
246,2017-09-03,2017,224681,224681,298033282.1666748,3288734.666665935,171034,0,166,0.8346989732109016,81253370,26903169,54350201,225610,225610,251542802.05000412,3284089.0499993614,171960,0,105,0.8500465404902202,2318206766,26869166,46982658,-929,-929,46490480.11667067,4645.616666573565,-926,0,61,-0.01534756727931863,-2236953396,34003,7367543,1326.4730091404026,1114.9452686051334,211.52774053526923,0.7612303666086585,0.7622002570808032,-926
247,2017-09-04,2017,231913,231913,298659963.88334686,3366213.049999303,175885,0,163,0.83057008447135,82115439,27557142,54558297,232718,232718,252403843.43332985,3361221.5499993525,176682,0,163,0.842723811651866,2326922158,27530734,47452387,-805,-805,46256120.450017005,4991.49999995064,-797,0,0,-0.012153727180516105,-2244806719,26408,7105910,1287.8103594164486,1084.5909789244058,203.21938049204277,0.7584094035263224,0.7592107185520673,-797
248,2017-09-05,2017,234606,234606,299375587.83333135,3398526.9166659084,176803,0,154,0.8253113731106458,82691664,27666319,55025345,235526,235526,253354963.53332716,3393546.149999312,177720,0,156,0.840382802747894,2334393977,27645776,47768231,-920,-920,46020624.300004184,4980.76666659629,-917,0,-2,-0.015071429637248168,-2251702313,20543,7257114,1276.078138808604,1075.698494150655,200.37964465794903,0.753616702045131,0.7545663748375976,-917
249,2017-09-06,2017,233671,233671,299647993.5166702,3416252.633332644,177261,0,158,0.8412939560321966,82344766,27684273,54660493,234782,234782,253976215.2166685,3411182.916666029,178351,0,159,0.8611520474312379,2339553391,27664112,47238776,-1111,-1111,45671778.30000174,5069.716666615102,-1090,0,-1,-0.019858091399041267,-2257208625,20161,7421717,1282.3499429397325,1081.753350838942,200.59659210079053,0.7585922087036903,0.759645117598453,-1090
250,2017-09-07,2017,236402,236402,300020215.6333359,3411392.1499993294,179750,0,138,0.8411054051996163,84703201,29540582,55162619,237427,237426,254646737.88332993,3405796.6499993186,180708,0,138,0.8543131151890904,2346860440,29514958,48240437,-1025,-1024,45373477.75000596,5595.50000001071,-958,0,0,-0.01320770998947407,-2262157239,25624,6922182,1269.1103105444788,1072.5309691580953,196.57934138638348,0.7603573573827632,0.7611097305698172,-958
251,2017-09-08,2017,239149,239149,300444306.85000813,3416881.8166660573,178878,0,143,0.8194431086895639,86096411,30759559,55336852,240837,240837,255382314.16666478,3413690.7499996424,179844,0,143,0.8264220198723621,2356804893,30814413,48679347,-1688,-1688,45061992.68334335,3191.066666414961,-966,0,0,-0.006978911182798142,-2270708482,-54854,6657505,1256.305929985106,1060.3948486597358,195.91108132537033,0.7479772024971879,0.7467457242865506,-966
252,2017-09-09,2017,234741,234741,300628037.2833487,3399106.383332715,176807,0,170,0.8265577807029809,84665484,30317059,54348425,235649,235649,255720892.08333325,3394052.066666127,177652,0,172,0.8364092357701359,2363032510,30316465,47738676,-908,-908,44907145.200015426,5054.316666587722,-845,0,-2,-0.009851455067155013,-2278367026,594,6609749,1280.6797162973178,1085.1770730337632,195.50264326355455,0.7532003356891211,0.7538839545255868,-845
253,2017-09-10,2017,229461,229461,300954995.5666737,3307494.783332633,172971,0,177,0.8306378861767467,84870077,29773453,55096624,230087,230087,256304939.61666596,3302754.1499995436,173700,0,178,0.8396823810123971,2371117595,29794298,48211237,-626,-626,44650055.95000774,4740.633333089296,-729,0,-1,-0.009044494835650396,-2286247518,-20845,6885387,1311.5736250023913,1113.9479397648106,197.62568523758068,0.753814373684417,0.7549318301338189,-729
254,2017-09-11,2017,232078,232078,300652347.9166676,3335641.8499993407,175485,0,230,0.8331897034617683,82966597,29692753,53273844,232952,232952,256259116.75000238,3330968.816665996,176258,0,230,0.8436759504103855,2375328587,29691327,47002289,-874,-874,44393231.1666652,4673.033333344851,-773,0,0,-0.010486246948617106,-2292361990,1426,6271555,1295.4797435201424,1100.0511553882448,195.42858813189764,0.7561466403536742,0.7566279748617741,-773
255,2017-09-12,2017,238027,238027,301081245.26667804,3407644.79999931,181922,0,265,0.8420011175202878,82976385,30187110,52789275,238907,238907,256863631.26666516,3402374.9333327175,182749,0,265,0.8523232889785611,2383911582,30161042,46523871,-880,-880,44217614.000012875,5269.866666592658,-827,0,0,-0.0103221714582733,-2300935197,26068,6265404,1264.9037515352377,1075.1615953767164,189.7421561585213,0.764291445928403,0.7649378209931061,-827
