,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
50,2017-02-20,2017,171242,171242,225283787.63333362,2624643.23333333,132376,0,119,0.8286752081849081,24543670,1741868108,513841,513841,223969077.9499943,2619651.3999999417,132709,0,118,0.27894426486014146,1811688155,-342599,-342599,1314709.6833393276,4991.833333388437,-333,0,1,0.5497309433247667,-1787144485,1315.5872252913048,435.87233784379663,879.7148874475081,0.7730346527137034,0.25826860838274873,-333
51,2017-02-21,2017,172239,172239,225839250.91666675,2663990.0499999984,133570,0,68,0.8349734961303771,25059877,1750092896,519851,519851,224545191.33333045,2659433.5166665,134075,0,68,0.28002254492152584,1816507965,-347612,-347612,1294059.5833362937,4556.533333498519,-505,0,0,0.5549509512088513,-1791448088,1311.196946781314,431.9414434777089,879.2555033036051,0.7754921939862632,0.25791043972215116,-505
52,2017-02-22,2017,172158,172158,226471573.55000007,2684267.8833333286,134575,0,97,0.8430976196284814,24945732,1757908620,525008,525008,225180860.86666423,2678952.6999999885,135036,0,97,0.2798547831652091,1823819072,-352850,-352850,1290712.6833358407,5315.183333340101,-461,0,0,0.5632428364632722,-1798873340,1315.4867827809342,428.9093896981841,886.5773930827501,0.7816947222899894,0.2572075092189071,-461
53,2017-02-23,2017,173941,173941,227016322.33333313,2696761.8833333314,136660,0,98,0.8447749524263974,25037058,1765520757,534429,534429,225716453.1166647,2692080.1833331482,137090,0,98,0.27797144241798044,1831148022,-360488,-360488,1299869.216668427,4681.700000183191,-430,0,0,0.566803510008417,-1806110964,1305.1340531176268,422.35068290954405,882.7833702080827,0.7856687037558713,0.25651676836399223,-430
54,2017-02-24,2017,177223,177223,227595638.0833328,2724978.166666667,138891,0,85,0.8439931611585403,25322778,1773478613,542793,542793,226282281.2166649,2718328.3666665712,139463,0,86,0.279086134124795,1838812300,-365570,-365570,1313356.8666678965,6649.80000009574,-572,0,-1,0.5649070270337453,-1813489522,1284.2330740554714,416.8850394472016,867.3480346082698,0.78370753231804,0.2569358853190811,-572
55,2017-02-25,2017,169938,169938,228034182.60000008,2708065.8666666625,133626,0,88,0.8430839482634828,25106262,1780882916,544120,544120,226727642.1666646,2703565.699999982,134224,0,89,0.2667260898331235,1846601567,-374182,-374182,1306540.433335483,4500.166666680481,-598,0,-1,0.5763578584303592,-1821495305,1341.8669314691244,416.68683776862565,925.1800937004988,0.7863220704021466,0.2466808792178196,-598
56,2017-02-26,2017,171182,171182,228423245.7166666,2707239.800000003,133597,0,90,0.8394924700026876,25199475,1788045580,551462,551462,227107250.76666299,2702663.5166666247,134194,0,91,0.2636537059670445,1856432492,-380280,-380280,1315994.950003624,4576.283333378378,-597,0,-1,0.575838764035643,-1831233017,1334.3882284157598,411.8275615847746,922.5606668309852,0.7804383638466661,0.2433422429831974,-597
57,2017-02-27,2017,179201,179201,229306039.43333325,2789602.9666666677,140390,0,76,0.8451905960346212,25578474,1798653485,563855,563855,227983696.59999904,2784111.299999849,141169,0,76,0.27230582330563663,1866947519,-384654,-384654,1322342.8333342075,5491.666666818783,-779,0,0,0.5728847727289845,-1841369045,1279.6024544133863,404.3303625932182,875.2720918201682,0.783421967511342,0.250364012024368,-779
58,2017-02-28,2017,181572,181572,229928906.2500002,2788640.683333337,141450,0,91,0.840509549930607,25115045,1806270094,569355,569355,228581298.88333184,2782497.6999998423,142024,0,92,0.2712753905735421,1872999010,-387783,-387783,1347607.3666683733,6142.983333494514,-574,0,-1,0.5692341593570649,-1847883965,1266.3235865111371,401.4741222670071,864.8494642441301,0.7790298063578085,0.24944718145972197,-574
59,2017-03-01,2017,179873,179873,230456019.51666662,2763388.9000000004,141036,0,102,0.8480483452213518,25461837,1813540140,398477,398477,229104337.43333292,2758010.8666664865,141427,0,103,0.38714907008435545,1867084366,-218604,-218604,1351682.083333701,5378.033333513886,-391,0,-1,0.4608992751369963,-1841622529,1281.215188030814,574.9499655772678,706.2652224535462,0.7840865499546903,0.3549188535348339,-391
60,2017-03-02,2017,180861,180861,230606408.6333332,2773520.8166666664,141711,0,65,0.8496635537788679,25641650,1819115157,412255,412255,229306620.44999868,2769606.6333331796,142343,0,65,0.3776085189991643,1876272177,-231394,-231394,1299788.1833345294,3914.1833334867842,-632,0,0,0.4720550347797036,-1850630527,1275.0477362910367,556.2252015136231,718.8225347774136,0.7835354222303316,0.3452790142023747,-632
